name,player_unique_id,number,t_b,height,weight,born,debut,nationality,draft_order,position,team
鋼龍,6497,37,右投右打,193,97,1990-06-26,2021-04-08,美國,,投手,味全龍
布里悍,6496,43,右投右打,190,95,1988-02-10,2021-03-19,美國,,投手,味全龍
O.賈西亞,6499,28,左投左打,191,100,1989-08-02,,美國,,投手,中信兄弟二軍
福來喜,6430,4,右投右打,188,104,1989-10-12,2022-04-03,美國,,捕手,中信兄弟二軍
加百利,6500,55,右投右打,188,92,1993-05-26,2021-03-13,多明尼加,,投手,中信兄弟
赫雷拉,6501,73,右投左右開弓,190,81,1992-10-16,2021-03-14,多明尼加,,中外野手,味全龍二軍
猛快,6506,31,右投右打,198,100,1989-06-23,2021-04-20,美國,,投手,樂天桃猿二軍
後勁,6507,40,右投右打,190,90,1989-05-12,2021-03-25,美國,,投手,台鋼雄鷹二軍
龍德力,6557,53,右投右打,183,81,1992-04-17,2022-04-28,多明尼加,,游擊手,味全龍二軍
優瑪,6547,89,右投右打,191,95,1992-05-06,2021-07-14,多明尼加,,投手,富邦悍將二軍
猛悍,6707,63,左投左打,190,119,1993-06-20,2021-07-20,多明尼加,,投手,富邦悍將二軍
高野圭佑,6610,81,右投右打,178,76,1991-12-28,2021-10-10,日本,,投手,中信兄弟
卡洛斯,6570,53,右投左打,193,109,1991-12-20,2022-10-01,美國,,三壘手,富邦悍將二軍
荷雷拉,6696,56,右投右打,196,86,1998-01-01,,哥倫比亞,,投手,味全龍二軍
紐那斯,6625,38,右投右打,185,80,1987-06-15,2021-07-30,多明尼加,,三壘手,富邦悍將二軍
蔡鉦宇,6709,38,右投左打,175,75,1996-02-20,,中華民國,,游擊手,統一7-ELEVEn獅二軍
格里斯,6708,87,左投左打,193,95,1992-06-13,2021-08-18,加拿大,,投手,中信兄弟二軍
狂威,6710,33,右投右打,185,97,1991-08-14,2021-08-31,美國,,投手,樂天桃猿
